,time,O1,O2,Fp2,Fp1,contact_O1,contact_O2,contact_Fp2,contact_Fp1,Sample,Streaming,Battery
17855,71.42,0.11576757812499999,0.5625,-0.025457787109374998,-0.040240382812499996,1.0,0.0,1.0,1.0,30256.0,1.0,84.0
17856,71.424,0.11576891406249999,0.5625,-0.025463353515625,-0.04024273046875,1.0,0.0,1.0,1.0,30257.0,1.0,84.0
17857,71.428,0.115777765625,0.5625,-0.025467308593749998,-0.04024165625,1.0,0.0,1.0,1.0,30258.0,1.0,84.0
17858,71.432,0.1157783046875,0.5625,-0.0254667734375,-0.04024058203125,1.0,0.0,1.0,1.0,30259.0,1.0,84.0
17859,71.436,0.115770859375,0.5625,-0.025461945312499998,-0.040248292968749995,1.0,0.0,1.0,1.0,30260.0,1.0,84.0
17860,71.44,0.115768515625,0.5625,-0.025458458984374998,-0.04025332421875,1.0,0.0,1.0,1.0,30261.0,1.0,84.0
17861,71.444,0.11577334375,0.5625,-0.025458458984374998,-0.040255402343749996,1.0,0.0,1.0,1.0,30262.0,1.0,84.0
17862,71.448,0.11578675,0.5625,-0.025463755859375,-0.04025667578125,1.0,0.0,1.0,1.0,30263.0,1.0,84.0
17863,71.452,0.1157886328125,0.5625,-0.025463755859375,-0.04026251171875,1.0,0.0,1.0,1.0,30264.0,1.0,84.0
17864,71.456,0.1157822578125,0.5625,-0.0254591953125,-0.04025794921875,1.0,0.0,1.0,1.0,30265.0,1.0,84.0
17865,71.46,0.1157750859375,0.5625,-0.02546315234375,-0.040246417968749996,1.0,0.0,1.0,1.0,30266.0,1.0,84.0
17866,71.464,0.115775625,0.5625,-0.025466572265624998,-0.04024426953125,1.0,0.0,1.0,1.0,30267.0,1.0,84.0
17867,71.468,0.11577991406249999,0.5625,-0.0254691875,-0.04024930078125,1.0,0.0,1.0,1.0,30268.0,1.0,84.0
17868,71.472,0.1157817890625,0.5625,-0.025470998046875,-0.0402500390625,1.0,0.0,1.0,1.0,30269.0,1.0,84.0
17869,71.476,0.1157783671875,0.5625,-0.025468314453124998,-0.0402484296875,1.0,0.0,1.0,1.0,30270.0,1.0,84.0
17870,71.48,0.11577414843749999,0.5625,-0.02547200390625,-0.0402484296875,1.0,0.0,1.0,1.0,30271.0,1.0,84.0
